,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Konstruktywizm,Konstruktywizm,,,['9810611672805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q207103,конструктивізм,Konstruktivismus,constructivisme,constructivism,konstruktywizm,Q207103,sh85031455,39247,['Style i kierunki artystyczne'],,,,,,,
Krytyka literacka,Krytyka literacka,"['Literary criticism', 'Critique littéraire', 'Literaturkritik']","['Heterotopie', 'Kanon literatury', 'Krytycy literaccy', 'Krytyka genetyczna', 'Lęk przed wpływem (teoria)', 'Literatura mniejsza', 'Literaturoznawstwo', 'Nie-miejsca', 'Queer theory', 'Teoria literatury', 'Tradycja literacka', 'Życie literackie']",['9810681828705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q58854,літературна критика,Literaturkritik,critique littéraire,literary criticism,krytyka literacka,Q58854,sh85034149,3536,,"['Ekokrytyka', 'Krytyka archetypowa', 'Krytyka feministyczna', 'Krytyka kerygmatyczna', 'Krytyka postkolonialna', 'Krytyka psychoanalityczna', 'Krytyka somatyczna', 'Socjokrytyka']",,,,,,
Lektura szkolna,Lektura szkolna,,"['Kanon literatury', 'Nauczanie', 'Szkolnictwo']",['9810625461705606'],Edukacja i pedagogika Literaturoznawstwo,"['Edukacja i pedagogika', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q16571357,,Pflichtliteratur,,Set text,Lektura szkolna,Q16571357,,,,,,,,,,
Pisarze,Pisarze,"['Literaci', 'Authors']",,['9810546011905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Zawód', 'Grupy literackie', 'Międzynarodowy Dzień Pisarzy i Pisarek (3 marca)', 'Organizacje literackie', 'Pisarstwo', 'Pokolenie literackie', 'Program literacki', 'Życie literackie']","['Dramaturdzy', 'Pamiętnikarze', 'Poeci', 'Scenarzyści filmowi']",,,,,,
Prądy i kierunki literackie,Prądy i kierunki literackie,"['Kierunki w literaturze', 'Prądy i kierunki w literaturze', 'Literatura-prądy i kierunki']","['Barok', 'Dwudziestolecie międzywojenne (1918-1939)', 'Estetyzm', 'Klasycyzm', 'Klasyka weimarska', 'Modernizm', 'Oświecenie', 'Pozytywizm', 'Proces historycznoliteracki', 'Renesans', 'Romantyzm', 'Starożytność', 'Sturm und Drang', 'Style i kierunki artystyczne', 'Średniowiecze', 'Tradycja literacka', 'Vormärz']",['9810611808805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Akmeizm', 'Awangarda (kierunek artystyczno-literacki)', 'Dadaizm', 'Dekadentyzm', 'Ekspresjonizm', 'Franciszkanizm (literatura)', 'Futuryzm', 'Gotycyzm', 'Imagizm', 'Impresjonizm', 'Japońska Szkoła Romantyczna', 'Konstruktywizm', 'Manieryzm', 'Młoda Polska', 'Naturalizm', 'Nowa Fala (literatura)', 'Oniryzm', 'Parnasizm', 'Petrarkizm', 'Postmodernizm', 'Preromantyzm', 'Psychologizm', 'Realizm', 'Rokoko', 'Sentymentalizm', 'Surrealizm', 'Symbolizm', 'Witalizm (literatura)', 'Zenityzm']",,,,,,
Literaturoznawstwo,Literaturoznawstwo,['Nauka o literaturze'],,['9810625449205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q208217,літературознавство,Literaturwissenschaft,science de la littérature,literary studies,literaturoznawstwo,Q208217,,,"['Filologia', 'Aksjologia literacka', 'Filozofia literatury', 'Historia idei', 'Kanon literatury', 'Krytyka literacka', 'Książka z plecaka (projekt)', 'Literaturoznawcy', 'MLA International Bibliography', 'Performatywność', 'Podmiot literacki', 'Pokolenie literackie', 'Polifoniczność (literatura)', 'Polska Bibliografia Literacka', 'Popmoderna (portal internetowy)', 'Socjologia literatury', 'Tradycja literacka', 'Wpływ i recepcja']","['Historia literatury', 'Komparatystyka', 'Teoria literatury']",,,,,,
Manieryzm,Manieryzm,,,['9810546016605606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q131808,маньєризм,Manierismus,maniérisme,mannerism,manieryzm,Q131808,sh85080590,20459,['Style i kierunki artystyczne'],,,,,,,
Marynistyka,Marynistyka,"['Marina', 'Morze w sztuce']",['Morza'],['9810701058305606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q158607,марина,Marinekunst,marine,marine art,marynistyka,Q158607,,,,,,,,,,
Metafora,Metafora,"['Przenośnia', 'Metafory', 'Metaforyka']",,['9810596260305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q18534,метафора,Metapher,métaphore,metaphor,metafora,Q18534,sh85084283,3517,"['Figury retoryczne', 'Metonimia', 'Oksymoron', 'Peryfraza', 'Stylistyka']",,,,,,,
Metonimia,Metonimia,,,['9810694400205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q41966,Метонімія,Metonymie,Métonymie,metonymy,Metonimia,Q41966,sh85084434,3516,"['Figury retoryczne', 'Metafora', 'Metalepsja', 'Stylistyka', 'Synekdocha']",,,,,,,
Mimesis,Mimesis,"['Mimetyzm (literatura)', 'Mimetyzm (sztuka)', 'Reprezentacja (literatura)', 'Reprezentacja literacka']","['Diegesis', 'Estetyka', 'Fikcja literacka', 'Immersja (estetyka)', 'Pragnienie mimetyczne', 'Realizm', 'Świat przedstawiony', 'Teoria literatury']",['9810553845405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q12771745,Мімезис,Mimesis,Mimesis,Mimesis,Mimesis,Q12771745,,21222,,,,,,,,
Mitologia,Mitologia,,,['9810676075805606'],Religia i duchowość Literaturoznawstwo,"['Religia i duchowo', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q201571,слов'янська міфологія,Slawische Mythologie,mythologie slave,Slavic mythology,mitologia Słowian,Q201571,sh85089371,7687,"['Ideologia', 'Bóstwa', 'Człowiek dziki (postać mitologiczna)', 'Cztery żywioły', 'Drzewo życia', 'Elfy', 'Katabaza', 'Labirynt', 'Mit', 'Neopoganizm', 'Ogry', 'Postać literacka', 'Religia', 'Światy podziemne', 'Teonimy', 'Tradycja ustna', 'Trickster', 'Wampir (stworzenie fantastyczne)', 'Stworzenia fantastyczne']","['Mitologia afrykańska', 'Mitologia arabska', 'Mitologia australijska', 'Mitologia bliskowschodnia', 'Mitologia dalekowschodnia', 'Mitologia egipska', 'Mitologia fenicka', 'Mitologia grecka', 'Mitologia hebrajska', 'Mitologia Indian', 'Mitologia indoeuropejska', 'Mitologia indyjska', 'Mitologia Melanezji', 'Mitologia ormiańska', 'Mitologia osetyjska', 'Mitologia perska', 'Mitologia rzymska', 'Mitologia sumeryjska', 'Mitologia ugarycka', 'Mitologia Wysp Brytyjskich']",,,,,,
Mitologia ludów Syberii,Mitologia ludów Syberii,,,['9810676075905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja']",['Mitologia jakucka'],,,,,,
Mitologia afrykańska,Mitologia afrykańska,,,['9810676076005606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1032139,Африканська міфологія,Afrikanische Mythologie,mythologie africaine,African mythology,mitologia afrykańska,Q1032139,,,"['Mitologia', 'Religie rodzime Afryki']","['Mitologia Dogonów', 'Mitologia Jorubów']",,,,,,
Mitologia ajnu,Mitologia ajnu,,,['9810676076105606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja', 'Ajnowie']",,,,,,,
Mitologia ałtajska,Mitologia ałtajska,,,['9810676076205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja']",,,,,,,
Mitologia arabska,Mitologia arabska,"['Mythology, Arab']",,['9810676076305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q434553,Арабська міфологія,Altarabische Gottheiten,Mythologie arabe,Arabian mythology,mitologia arabska,Q434553,,,"['Mitologia', 'Arabowie', 'Dżinny', 'Ghule (stworzenia fantastyczne)', 'Orientalistyka']",,,,,,,
