,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Zenityzm,Zenityzm,,,['9811523314105606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Style i kierunki artystyczne'],,,,,,,
Koń trojański (mitologia grecka),Koń trojański (mitologia grecka),,"['Mitologia grecka', 'Wojna trojańska']",['9811534052205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Urth (świat fikcyjny),Urth (świat fikcyjny),,,['9811537143205606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Afektowana skromność,Afektowana skromność,"['Affected modesty', 'Excusatio propter infirmitatem', 'Topos afektowanej skromności', 'Topika afektowanej skromności']",,['9811539357205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci kurdyjscy,Poeci kurdyjscy,"['Kurdish poets', 'Poets, Kurdish']",,['9811540227005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
"Program naukowo-badawczy ""Literatura Ludowej Republiki Bułgarii (1946-1990)""","Program naukowo-badawczy ""Literatura Ludowej Republiki Bułgarii (1946-1990)""","['Literatura Ludowej Republiki Bułgarii (1946-1990), program naukowo-badawczy', 'Program naukowo-badawczy ""Literatura LRB (1946-1990)""', 'Literatura LRB (1946-1990), program naukowo-badawczy', 'Program ""Literatura na Narodna republika B\'\'lgariâ (1946-1990)""', 'Програма ""Литературата на Народна република България (1946-1990)""', ""Literaturata na Narodna republika B''lgariâ (1946-1990), program"", 'Литературата на Народна република България (1946-1990), Програма', 'Przedsięwzięcie naukowo-badawcze ""Literatura Ludowej Republiki Bułgarii (1946-1990)""', 'Przedsięwzięcie naukowo-badawcze ""Literatura LRB (1946-1990)""']",,['9811545064605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze Gwinei Równikowej,Pisarze Gwinei Równikowej,"['Authors, Equatoguinean']",,['9811560660405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze angolscy,Pisarze angolscy,"['Authors, Angolan']",,['9811560649305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Konkretyzacja dzieła literackiego,Konkretyzacja dzieła literackiego,,"['Estetyka', 'Fenomenologia literatury', 'Odbiór dzieła literackiego', 'Teoria literatury']",['9811571556605606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Podróże z Panem Tadeuszem (szlak turystyczny),Podróże z Panem Tadeuszem (szlak turystyczny),"['Szlak Pana Tadeusza', 'Szlak turystyczny ""Podróże z Panem Tadeuszem""']",,['9811572557205606'],Kultura fizyczna i sport Literaturoznawstwo,"['Kultura fizyczna i sport', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Szlaki turystyczne', 'Turystyka literacka']",,,,,,,
Filologia kaszubska,Filologia kaszubska,"['Etnofilologia kaszubska', 'Kashubian studies', 'Kaszëbistika', 'Kaszëbskô etnofilologiô', 'Kaszëbskô filologiô', 'Kaszubistyka']",,['9811719345805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Slawistyka', 'Język kaszubski']",,,,,,,
Dzień Postaci z Bajek (5 listopada),Dzień Postaci z Bajek (5 listopada),"['5 listopada', 'Międzynarodowy Dzień Postaci z Bajek']",,['9811739159805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Święta'],,,,,,,
Antyteza,Antyteza,"['Antithesis', 'Przeciwstawienie']",,['9811793405505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q487994,антитеза,Antithese,antithèse,antithesis,antyteza,Q487994,,,"['Figury retoryczne', 'Oksymoron', 'Sprzeczność']",,,,,,,
Przekłady islandzkie,Przekłady islandzkie,,,['9811802148505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język islandzki'],,,,,,,
E-Literaci.pl (portal internetowy),E-Literaci.pl (portal internetowy),['E-Literaci (portal internetowy)'],,['9811801842805606'],Informatyka i technologie informacyjne Literaturoznawstwo Media i komunikacja społeczna,"['Informatyka i technologie informacyjne', 'Literaturoznawstwo', 'Media i komunikacja spo']",Literaturoznawstwo,,,,,,,,,,['Portale internetowe'],,,,,,,
Dramaturdzy szwedzcy,Dramaturdzy szwedzcy,"['Dramatists, Swedish']",,['9811810541405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze szwedzcy'],,,,,,,
Międzynarodowy Dzień Pisarzy i Pisarek (3 marca),Międzynarodowy Dzień Pisarzy i Pisarek (3 marca),"['3 marca (Międzynarodowy Dzień Pisarzy i Pisarek)', ""International Writers' Day (3 marca)"", 'Światowy Dzień Pisarzy i Pisarek (3 marca)', 'Trzeci marca (Międzynarodowy Dzień Pisarzy i Pisarek)']",,['9812034925005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Święta', 'Pisarze', 'Promocja czytelnictwa']",,,,,,,
Klinika Małych Zwierząt w Leśnej Górce (miejsce fikcyjne),Klinika Małych Zwierząt w Leśnej Górce (miejsce fikcyjne),,,['9812199133205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Krainy i światy fikcyjne'],,,,,,,
Ogólnopolska Nagroda Poetycka im. Kazimiery Iłłakowiczówny za Najlepszy Debiut Poetycki Roku,Ogólnopolska Nagroda Poetycka im. Kazimiery Iłłakowiczówny za Najlepszy Debiut Poetycki Roku,"['Nagroda Poetycka im. Kazimiery Iłłakowiczówny', 'Nagroda im. Kazimiery Iłłakowiczówny', 'Ogólnopolska Nagroda Poetycka im. Kazimiery Iłłakowiczówny', 'Kazimiery Iłłakowiczówny, nagroda poetycka']",,['9812214948605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Książka z plecaka (projekt),Książka z plecaka (projekt),"['Projekt Książka z plecaka', 'Projekt ""Książka z plecaka""']","['Literaturoznawstwo', 'Uczniowie szkół średnich', 'Warsztaty literackie']",['9812226527005606'],Edukacja i pedagogika Literaturoznawstwo,"['Edukacja i pedagogika', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Chlorofilaki (stworzenia fantastyczne),Chlorofilaki (stworzenia fantastyczne),['Chlorofilak (stworzenie fantastyczne)'],,['9812389922305606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Aluzja,Aluzja,['Allusion'],,['9812392406505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q506667,Алюзія,Allusion,allusion,allusion,aluzja,Q506667,sh85003729,8744,['Figury retoryczne'],['Aluzja literacka'],,,,,,
Suspens,Suspens,['Suspense'],,['9812396468505606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q9503,саспенс,Suspense,suspense,suspense,Suspens,Q9503,,,"['Narracja', 'Estetyka', 'Poetyka', 'Świat przedstawiony', 'Teoria filmu', 'Teoria literatury']",,,,,,,
Epistolografia,Epistolografia,['Sztuka pisania listów'],,['9812400135505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q3491641,епістолографія,Epistolografie,épistolographie,epistolary literature,epistolografia,Q3491641,,,,,,,,,,
Neustadt International Prize for Literature,Neustadt International Prize for Literature,"['Neustadt International Prize for Literature (nagroda literacka)', 'Mały Nobel']",,['9812422957505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q580574,Нейштадтська літературна премія,Neustadt International Prize for Literature,Neustadt International Prize for Literature,Neustadt International Prize for Literature,Neustadt International Prize for Literature,Q580574,,,['Nagrody literackie'],,,,,,,
Rok Zbigniewa Herberta (2008),Rok Zbigniewa Herberta (2008),['Rok Herberta (2008)'],,['9812425006105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Rocznice'],,,,,,,
Kāvyapāka,Kāvyapāka,,"['Język poetycki', 'Teoria literatury']",['9812453384605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Kāvya (styl literacki),Kāvya (styl literacki),"['Kāvyá', 'Kavya']",,['9812453383305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Krytyka tekstu,Krytyka tekstu,['Textual criticism'],,['9812451512105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q275456,Текстологія,Textkritik,critique textuelle,textual criticism,krytyka tekstu,Q275456,sh99005388,17140,"['Tekstologia', 'Edytorstwo', 'Tekst']",,,,,,,
Złote Pióro (nagroda Związku Literatów na Mazowszu),Złote Pióro (nagroda Związku Literatów na Mazowszu),"['Nagroda Związku Literatów na Mazowszu Złote Pióro', 'Złote Pióro (nagroda ZLM)', 'Złote Pióro', 'Złote Pióro (Ciechanów ; nagroda literacka)', 'Nagroda Konkursu za Książkę Roku Związku Literatów na Mazowszu ""Złote Pióro""', 'Nagroda Złote Pióro Konkursu za Książkę Roku Związku Literatów na Mazowszu']",,['9812466043705606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Nagroda im. Józefa Łukaszewicza,Nagroda im. Józefa Łukaszewicza,,,['9812475580305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Rok Stanisława Lema (2021),Rok Stanisława Lema (2021),['Rok Stanisława Lema pod patronatem Sejmu RP (2021)'],,['9812477271505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Rocznice'],,,,,,,
Orkowie,Orkowie,"['Ork', 'Orc', 'Orcs']",,['9812476947605606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q194061,орк,Ork,orque,orc,ork,Q194061,,,"['Potwory', 'Demony']",,,,,,,
Spoiler (media),Spoiler (media),['Spojler'],"['Fabuła', 'Narracja']",['9812619566005606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady udmurckie,Przekłady udmurckie,['Przekłady wotiackie'],,['9812649097305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język udmurcki'],,,,,,,
Pisarze malajalam,Pisarze malajalam,"['Malajalam, pisarze']",,['9812651933405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze pendżabscy,Pisarze pendżabscy,"['Pendżabscy, pisarze', 'Authors, Punjabi']",,['9812651924005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Mainzer Stadtschreiber,Mainzer Stadtschreiber,"['Mainzer Stadtschreiber (nagroda literacka)', 'Mainzer Stadtschreiber-Literaturpreis']",,['9812662392505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Griffin Poetry Prize,Griffin Poetry Prize,"['Nagroda Griffin Poetry Prize', 'Nagroda poetycka Griffin Poetry Prize', 'Nagroda poetycka Griffin Prize', 'Griffin Trust For Excellence In Poetry Lifetime Recognition Award (nagroda poetycka)', 'Kanadyjska nagroda poetycka Griffin Poetry Prize']",,['9812665010805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Nagrody literackie'],,,,,,,
Niebieski kwiat (symbol),Niebieski kwiat (symbol),"['Blaue Blume', 'Blue flower']",,['9812668031805606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Symbole', 'Romantyzm']",,,,,,,
Przekłady cerkiewnosłowiańskie,Przekłady cerkiewnosłowiańskie,,,['9812689378005606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język cerkiewnosłowiański'],,,,,,,
Przekłady krymczackie,Przekłady krymczackie,"['Krymczackie, przekłady']",,['9812692297405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język krymczacki'],,,,,,,
Filologia ormiańska,Filologia ormiańska,['Filologia armeńska'],,['9812691993605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Orientalistyka', 'Język ormiański']",,,,,,,
Mitologia ormiańska,Mitologia ormiańska,"['Mitologia armeńska', 'Mitologia Ormian', 'Mitologia Armenii']",,['9812691989605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q684411,вірменська міфологія,Armenische Mythologie,Paganisme arménien,Armenian mythology,Mitologia ormiańska,Q684411,sh85089375,,['Mitologia'],,,,,,,
Mitologia indoeuropejska,Mitologia indoeuropejska,['Mitologie ludów indoeuropejskich'],,['9812691979405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Ludy indoeuropejskie']",,,,,,,
Mitologia galijska,Mitologia galijska,"['Mitologia Galów', 'Mitologia gallo-rzymska']",,['9812691978205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia celtycka', 'Galowie', 'Mitologia rzymska', 'Religia Galów']",,,,,,,
Mitologia semicka,Mitologia semicka,['Mitologie ludów semickich'],,['9812691976605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia bliskowschodnia', 'Ludy semickie']",,,,,,,
Światotwórstwo,Światotwórstwo,"['Światotworzenie', 'Worldbuilding']","['Fikcja literacka', 'Krainy i światy fikcyjne', 'Świat przedstawiony']",['9812694481805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Nicteroy (stworzenia fantastyczne),Nicteroy (stworzenia fantastyczne),,,['9812711482305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Pisarze singapurscy,Pisarze singapurscy,"['Singapurscy, pisarze']",,['9812715285705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Rozstrzelane odrodzenie,Rozstrzelane odrodzenie,"['Pозстріляне відродження', 'Rozstrìlâne vìdrodžennâ', 'Executed Renaissance']",,['9812728000005606'],Literaturoznawstwo Historia,"['Literaturoznawstwo', 'Historia']",Literaturoznawstwo,http://www.wikidata.org/entity/Q4390519,Розстріляне відродження,Rosstriljane widrodschennja,Renaissance fusillée,Executed Renaissance,Rozstrzelane odrodzenie,Q4390519,,,"['Pokolenie literackie', 'Pisarze ukraińscy', 'Zbrodnie sowieckie']",,,,,,,
Rok Józefa Wybickiego (2022),Rok Józefa Wybickiego (2022),['Rok Wybickiego (2022)'],,['9812735044705606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Rocznice'],,,,,,,
Funkcja poetycka języka,Funkcja poetycka języka,"['Funkcja poetycka wypowiedzi', 'Funkcja estetyczna wypowiedzi']",,['9812734740305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q9264610,,,Fonction poétique,,Funkcja poetycka języka,Q9264610,,,"['Funkcje języka', 'Język poetycki']",,,,,,,
Gigantomachia,Gigantomachia,['Walka bogów z Gigantami'],['Mitologia grecka'],['9812747178205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q25931325,Гігантомахія,Gigantomachia,Gigantomachia,Gigantomachia,Gigantomachia,Q25931325,,,,,,,,,,
Sturm und Drang,Sturm und Drang,['Okres burzy i naporu'],"['Bunt', 'Folklor', 'Prądy i kierunki literackie']",['9812747650405606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q207741,Буря і натиск,Sturm und Drang,Sturm und Drang,Sturm und Drang,Sturm und Drang,Q207741,sh85129359,,,,,,,,,
Japońska Szkoła Romantyczna,Japońska Szkoła Romantyczna,['Japan Romantic School'],,['9812747758105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Prądy i kierunki literackie'],,,,,,,
Klasyka weimarska,Klasyka weimarska,['Weimarer Klassik'],['Prądy i kierunki literackie'],['9812749276305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q694408,Веймарський класицизм,Weimarer Klassik,Classicisme de Weimar,Weimar Classicism,Klasyka weimarska,Q694408,,,,,,,,,,
Czarny charakter,Czarny charakter,"['Czarne charaktery', 'Szwarccharakter', 'Schwarzcharakter']",,['9812748757205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q290691,лиходій,Bösewicht,méchant,villain,czarny charakter,Q290691,,,"['Postacie fikcyjne', 'Antybohater', 'Archetyp (psychologia)', 'Postać filmowa', 'Postać literacka']",,,,,,,
Pisarze nahua,Pisarze nahua,['Pisarze nahuatl'],,['9812785471005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Chochoł (stworzenie fantastyczne),Chochoł (stworzenie fantastyczne),,,['9812792896005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Stworzenia fantastyczne'],,,,,,,
Pisanie performatywne,Pisanie performatywne,"['Performance tekstu', 'Performative writing']","['Performance', 'Performatyka', 'Performatywność', 'Pisanie', 'Teoria krytyczna', 'Wypowiedzi performatywne', 'Sztuki wizualne']",['9812793000405606'],Literaturoznawstwo Kultura i sztuka,"['Literaturoznawstwo', 'Kultura i sztuka']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Intentio operis (literaturoznawstwo),Intentio operis (literaturoznawstwo),,,['9812795296005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Teoria literatury', 'Close reading']",,,,,,,
Vormärz,Vormärz,"['Dni marcowe', 'Zwycięskie dni marcowe']","['Prądy i kierunki literackie', 'Romantyzm']",['9812796197305606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady kazachskie,Przekłady kazachskie,"['Kazachskie, przekłady']",,['9812800594505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język kazachski'],,,,,,,
Mitologia Wysp Brytyjskich,Mitologia Wysp Brytyjskich,"['Mitologia brytyjska', 'Wysp Brytyjskich, mitologia']",,['9812805289305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],"['Mitologia celtycka', 'Mitologia irlandzka']",,,,,,
Mitologia dalekowschodnia,Mitologia dalekowschodnia,"['Mitologie Dalekiego Wschodu', 'Dalekiego Wschodu, mitologia', 'Dalekiego Wschodu, mitologie']",,['9812805288905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],"['Mitologia chińska', 'Mitologia filipińska', 'Mitologia japońska', 'Mitologia koreańska']",,,,,,
Mitologia filipińska,Mitologia filipińska,"['Filipińska, mitologia']",,['9812805288805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia dalekowschodnia'],,,,,,,
Mitologia bliskowschodnia,Mitologia bliskowschodnia,"['Mitologie Bliskiego Wschodu', 'Mitologia orientalna', 'Bliskiego Wschodu, mitologie', 'Bliskiego Wschodu, mitologia']",,['9812806699805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],['Mitologia semicka'],,,,,,
Mitologia inuicka,Mitologia inuicka,"['Mitologia inuit', 'Mitologia Inuitów', 'Inuitów, mitologia']",,['9812806697905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1473866,,Inuit-Mythen,mythologie inuite,Inuit mythology,mitologia inuicka,Q1473866,,,"['Mitologia Indian', 'Eskimosi']",,,,,,,
Mitologia Oceanii,Mitologia Oceanii,"['Oceanii, mitologia']",,['9812806692005606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],['Mitologia Polinezji'],,,,,,
Our Mythical Childhood (projekt),Our Mythical Childhood (projekt),"['Project Our Mythical Childhood', 'Projekt Our Mythical Childhood', 'Projekt OMC']",['Recepcja antyku'],['9812807183705606'],Historia Kultura i sztuka Literaturoznawstwo,"['Historia', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Odmowa,Odmowa,"['Odmowa (językoznawstwo)', 'Odmawianie', 'Literacka odmowa', 'Recusatio', 'Praeteritio', 'Accismus', 'Priamel', 'Refus', 'Refusal (Linguistics)']",,['9812807282705606'],Językoznawstwo Etnologia i antropologia kulturowa Literaturoznawstwo,"['J', 'Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q19269117,,,,,Odmowa,Q19269117,,,"['Wypowiedzi performatywne', 'Retoryka', 'Savoir-vivre']",,,,,,,
Pamiętnikarze,Pamiętnikarze,"['Diarists', 'Pamiętnikarz']",,['9812806638405606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Pisarze'],,,,,,,
Chamisso-Poetikdozentur,Chamisso-Poetikdozentur,,['Nagrody literackie'],['9812836787105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Nagroda Conrada,Nagroda Conrada,"['Nagroda im. Józefa Konrada Korzeniowskiego', 'Nagroda Literacka Miasta Krakowa pn. Nagroda im. Józefa Konrada Korzeniowskiego']",,['9812842573605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q47468270,,Conrad Preis,Prix Conrad,Conrad Award,Nagroda Conrada,Q47468270,,,['Nagrody literackie'],,,,,,,
Antymetabola,Antymetabola,"['Antymetabole', 'Antymetalepsa', 'Antymetateza']",,['9812843461505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q577968,,Antimetabole,Antimétabole,antimetabole,Antymetabola,Q577968,,,"['Figury retoryczne', 'Stylistyka']",,,,,,,
Filologia fińska,Filologia fińska,"['Fennistyka', 'Finnish Philology', 'Finnistyka']",,['9812845533005606'],Literaturoznawstwo Językoznawstwo,"['Literaturoznawstwo', 'J']",Literaturoznawstwo,http://www.wikidata.org/entity/Q362748,,Fennistik,,Finnish studies,Filologia fińska,Q362748,,,"['Filologia ugrofińska', 'Język fiński']",,,,,,,
Nagroda Jabłonowskiego,Nagroda Jabłonowskiego,"['Jablonowski-Preis', 'Jabłonowski-Preis']",,['9812848199405606'],Edukacja i pedagogika Historia Językoznawstwo Literaturoznawstwo,"['Edukacja i pedagogika', 'Historia', 'J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Nagrody naukowe'],,,,,,,
Amplificatio,Amplificatio,"['Amplifikacja (retoryka)', 'Amplifikacja (figura retoryczna)', 'Auxesis']",,['9812852906405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Figury retoryczne', 'Emfaza', 'Hiperbola (figura stylistyczna)', 'Stylistyka']",,,,,,,
Nagroda im. Karla Dedeciusa,Nagroda im. Karla Dedeciusa,"['Karl-Dedecius-Preis', 'Nagroda imienia Karla Dedeciusa', 'Nagroda Karla Dedeciusa']",,['9812853466305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q65175248,,Karl-Dedecius-Preis,prix Karl-Dedecius,Karl Dedecius Award,Nagroda im. Karla Dedeciusa,Q65175248,,,['Nagrody literackie'],,,,,,,
Pisarze czarnogórscy,Pisarze czarnogórscy,"['Authors, Montenegro']",,['9813132799305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci czarnogórscy'],,,,,,
Poeci czarnogórscy,Poeci czarnogórscy,"['Montenegro poets', 'Poets, Montenegro']",,['9813132799005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze czarnogórscy'],,,,,,,
Zamiana ról,Zamiana ról,"['Zmiana ról', 'Zamienianie ról', 'Zmienianie ról', 'Motyw zamiany ról', 'Motyw zmiany ról']","['Fabuła', 'Fikcja literacka', 'Metamorfoza postaci', 'Postacie fikcyjne', 'Postać filmowa', 'Postać literacka', 'Stworzenia fantastyczne', 'Świat przedstawiony']",['9813134262705606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
O Trzcinę Kortowa (konkurs),O Trzcinę Kortowa (konkurs),"['Konkurs Literacki ""O Trzcinę Kortowa""', 'Konkurs Poetycki ""O Trzcinę Kortowa""']",,['9813135237905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Konkursy i festiwale literackie'],,,,,,,
